tau1,tau2,train_auc,test_auc
7,44,0.7422222222222223,0.5085290310650887
7,45,0.7377777777777776,0.511239136464497
7,46,0.7466666666666666,0.5191672059911243
7,47,0.76,0.5246220876479291
7,48,0.7555555555555555,0.5273610854289941
7,49,0.7555555555555555,0.5250670303254438
7,50,0.76,0.5121868065828402
8,1,0.7155555555555555,0.4955968010355029
8,2,0.72,0.4947242511094675
8,3,0.7244444444444444,0.4908815643491124
8,4,0.6755555555555555,0.486102764423077
8,5,0.6844444444444444,0.47835382766272194
8,6,0.6888888888888889,0.4815319896449704
8,7,0.6844444444444444,0.4887897559171598
8,9,0.68,0.49825490014792895
8,10,0.6799999999999999,0.5037733450443788
8,11,0.6844444444444444,0.5317180565828402
8,12,0.6977777777777778,0.5447831915680473
8,13,0.6977777777777777,0.5406284670857988
8,14,0.6844444444444444,0.5300076275887574
8,15,0.6622222222222223,0.5194734652366864
8,16,0.6711111111111111,0.4932796320266273
8,17,0.6666666666666666,0.4881310096153846
8,18,0.6577777777777778,0.5222471338757396
8,19,0.6711111111111111,0.5371844951923077
8,20,0.6755555555555556,0.5361790403106509
8,21,0.6622222222222223,0.533700073964497
8,22,0.6755555555555555,0.5433096801035503
8,23,0.68,0.5399639423076923
8,24,0.6755555555555556,0.5370342548076923
8,25,0.6666666666666667,0.5254946375739644
8,26,0.6666666666666667,0.5225533931213018
8,27,0.6888888888888889,0.5255408653846154
8,28,0.6977777777777777,0.5285110022189349
8,29,0.7022222222222221,0.5312095506656804
8,30,0.7022222222222223,0.5306548169378699
8,31,0.7022222222222222,0.529938285872781
8,32,0.7066666666666666,0.525725776627219
8,33,0.711111111111111,0.5162548539201184
8,34,0.7066666666666666,0.5093033468934911
8,35,0.6977777777777777,0.49969374075443784
8,36,0.7066666666666666,0.49613997781065095
8,37,0.711111111111111,0.4926324426775147
8,38,0.7111111111111111,0.490026349852071
8,39,0.7244444444444444,0.49130917159763315
8,40,0.7244444444444444,0.4905926405325444
8,41,0.711111111111111,0.49267289201183434
8,42,0.7155555555555555,0.4952096431213018
8,43,0.7333333333333334,0.4981219951923077
8,44,0.7333333333333333,0.502785225591716
8,45,0.7644444444444446,0.5089566383136095
8,46,0.7688888888888888,0.5191036427514792
8,47,0.7777777777777778,0.5219697670118343
8,48,0.7822222222222223,0.5215883875739645
8,49,0.7777777777777778,0.5187800480769231
8,50,0.7644444444444445,0.5114991678994083
9,1,0.7511111111111112,0.49703564164201186
9,2,0.7377777777777778,0.4913380639792899
9,3,0.7288888888888889,0.48817145894970415
9,4,0.7066666666666667,0.48683085244082835
9,5,0.7111111111111111,0.4795441937869822
9,6,0.7111111111111111,0.48032428809171596
9,7,0.6933333333333334,0.49049440643491116
9,8,0.6933333333333334,0.49451622596153844
9,10,0.7022222222222222,0.5213341346153846
9,11,0.6933333333333334,0.5344223835059172
9,12,0.7155555555555555,0.5536647096893492
9,13,0.7244444444444444,0.5376178809171597
9,14,0.6977777777777778,0.5224840514053255
9,15,0.6844444444444444,0.507251987795858
9,16,0.671111111111111,0.49149408284023666
9,17,0.6933333333333334,0.48755316198224846
9,18,0.6888888888888889,0.51978550295858
9,19,0.7155555555555555,0.5541385447485206
9,20,0.7022222222222221,0.556016549556213
9,21,0.7022222222222223,0.5482965051775148
9,22,0.7111111111111111,0.5422464404585798
9,23,0.6799999999999999,0.5183119914940828
9,24,0.6844444444444444,0.5193001109467456
9,25,0.6888888888888889,0.5192134338017751
9,26,0.6888888888888889,0.5184911242603549
9,27,0.6888888888888889,0.516457100591716
9,28,0.6844444444444444,0.5162953032544378
9,29,0.7066666666666667,0.5233103735207101
9,30,0.7244444444444444,0.5260840421597632
9,31,0.7155555555555555,0.5262111686390533
9,32,0.7155555555555555,0.5248532267011835
9,33,0.7377777777777778,0.5180057322485208
9,34,0.7155555555555555,0.5099158653846154
9,35,0.711111111111111,0.4993701460798816
9,36,0.7066666666666667,0.49295603735207105
9,37,0.7288888888888889,0.4947300295857988
9,38,0.7377777777777778,0.4947762573964497
9,39,0.7377777777777778,0.49293292344674555
9,40,0.7288888888888889,0.492522651627219
9,41,0.7244444444444444,0.4916674371301775
9,42,0.7288888888888889,0.4932969674556213
9,43,0.7422222222222222,0.49432553624260356
9,44,0.7555555555555555,0.499855538091716
9,45,0.7555555555555555,0.5039582562869822
9,46,0.7644444444444445,0.5093842455621302
9,47,0.7911111111111112,0.5180057322485206
9,48,0.7822222222222222,0.5207794008875739
9,49,0.7955555555555556,0.5196063701923077
9,50,0.768888888888889,0.5123543823964497
10,1,0.7733333333333334,0.4923088480029586
10,2,0.7422222222222222,0.48921158468934917
10,3,0.7511111111111111,0.4855133598372781
10,4,0.7288888888888889,0.4852533284023669
10,5,0.7288888888888888,0.4840629622781065
10,6,0.7288888888888889,0.4827916974852071
10,7,0.7466666666666666,0.4937765809911243
10,8,0.7644444444444445,0.5043569711538461
10,9,0.72,0.5256102071005918
10,11,0.7111111111111111,0.5558027459319527
10,12,0.7155555555555555,0.5555889423076923
10,13,0.72,0.5335845044378699
10,14,0.7155555555555555,0.5215768306213018
10,15,0.7066666666666667,0.5087659485946746
10,16,0.7022222222222222,0.48660549186390534
10,17,0.711111111111111,0.4873624722633136
10,18,0.7155555555555555,0.546811436760355
10,19,0.7244444444444444,0.559009800295858
